"Site","Date","Latitude","Longitude","Rep","Type","DOC","DOCFlag","POC","POCFlag","NO3","NO3Flag","NH3","NH3Flag","TDN","TDNFlag","PON","PONFlag","SRP","SRPFlag","TDP","TDPFlag","PP","PPFlag","TP","TPFlag","SRSi","SiFlag","Chl","ChlFlag","TSS","TSSFlag"
"Bear Creek",2021-08-26,46.6725,-92.0005,2,"Watershed",1140,"none",239,"none",NA,"none",NA,"none",35.7,"none",20.6,"none",NA,"none",NA,"none",2.69,"none",NA,"none",NA,"none",24.1,"none",NA,"none"
"Dutchman Creek",2021-08-26,46.6791,-91.9437,1,"Watershed",1200,"none",108,"none",NA,"bdl",0.21,"none",38.6,"none",9.51,"none",0.11,"none",0.36,"none",1.13,"none",1.27,"none",126,"none",5.39,"none",22.7,"none"
"Dutchman Creek",2021-08-26,46.6791,-91.9437,2,"Watershed",1010,"none",106,"none",NA,"none",NA,"none",35,"none",9.71,"none",NA,"none",NA,"none",1.13,"none",NA,"none",NA,"none",5.93,"none",NA,"none"
"Faxon Creek",2021-08-26,46.7169,-92.0738,1,"Watershed",728,"none",130,"none",38.7,"none",4.62,"none",61.4,"none",10.3,"none",5.35,"none",7.66,"none",1.27,"none",12.47,"none",131,"none",7.34,"none",128,"none"
"Faxon Creek",2021-08-26,46.7169,-92.0738,2,"Watershed",739,"none",89.3,"none",NA,"none",NA,"none",60.7,"none",6.05,"none",NA,"none",NA,"none",1.35,"none",NA,"none",NA,"none",6.92,"none",NA,"none"
"Nemadji River",2021-08-26,46.6662,-92.0638,1,"Watershed",368,"none",68.4,"none",NA,"bdl",0.3,"none",13.6,"none",4.11,"none",0.15,"none",0.21,"none",0.42,"none",0.61,"none",185,"none",3.58,"none",7,"none"
"Nemadji River",2021-08-26,46.6662,-92.0638,2,"Watershed",373,"none",50.3,"none",NA,"none",NA,"none",13.6,"none",3.79,"none",NA,"none",NA,"none",0.39,"none",NA,"none",NA,"none",3.56,"none",NA,"none"
"Newton Creek",2021-08-26,46.7045,-92.0421,1,"Watershed",435,"none",59.4,"none",1.06,"none",1.59,"none",19.3,"none",4.85,"none",0.2,"none",0.39,"none",0.58,"none",1.08,"none",35.3,"none",2.53,"none",6,"none"
"Newton Creek",2021-08-26,46.7045,-92.0421,2,"Watershed",435,"none",62.2,"none",NA,"none",NA,"none",20,"none",5.06,"none",NA,"none",NA,"none",0.57,"none",NA,"none",NA,"none",2.75,"none",NA,"none"
"Poplar Creek",2021-08-26,46.6872,-91.7928,1,"Watershed",760,"none",95.6,"none",NA,"bdl",0.14,"none",25.7,"none",9.02,"none",0.11,"none",0.3,"none",1.02,"none",1.29,"none",61.6,"none",7.59,"none",5.3,"none"
"Poplar Creek",2021-08-26,46.6872,-91.7928,2,"Watershed",762,"none",95.1,"none",NA,"none",NA,"none",26.4,"none",9.56,"none",NA,"none",NA,"none",0.97,"none",NA,"none",NA,"none",7.25,"none",NA,"none"
"Amnicon River",2021-09-08,46.6856,-91.8638,1,"Watershed",638,"none",51.6,"none",NA,"bdl",0.29,"none",22.8,"none",6.3,"none",0.12,"none",0.43,"none",0.51,"none",0.8,"none",58.4,"none",4.45,"none",2,"none"
"Amnicon River",2021-09-08,46.6856,-91.8638,2,"Watershed",655,"none",55.1,"none",NA,"none",NA,"none",22.8,"none",6.52,"none",NA,"none",NA,"none",0.54,"none",NA,"none",NA,"none",4.54,"none",NA,"none"
"Bear Creek",2021-09-08,46.6725,-92.0005,1,"Watershed",1030,"none",73.7,"none",8.29,"none",0.78,"none",45,"none",7.63,"none",0.24,"none",1.02,"none",1.28,"none",2.29,"none",115,"none",10.8,"none",4.5,"none"
"Bear Creek",2021-09-08,46.6725,-92.0005,2,"Watershed",1030,"none",88,"none",NA,"none",NA,"none",45,"none",10,"none",NA,"none",NA,"none",1.26,"none",NA,"none",NA,"none",10.8,"none",NA,"none"
"Dutchman Creek",2021-09-08,46.6791,-91.9437,1,"Watershed",1050,"none",140,"none",0.31,"none",0.19,"none",38.6,"none",14.7,"none",0.12,"none",0.36,"none",1.43,"none",2.19,"none",112,"none",7.91,"none",19,"none"
"Dutchman Creek",2021-09-08,46.6791,-91.9437,2,"Watershed",1020,"none",132,"none",NA,"none",NA,"none",37.8,"none",13.5,"none",NA,"none",NA,"none",1.47,"none",NA,"none",NA,"none",7.93,"none",NA,"none"
"Faxon Creek",2021-09-08,46.7169,-92.0738,1,"Watershed",754,"none",116,"none",98.4,"none",2.04,"none",103,"none",11.1,"none",8.1,"none",10.5,"none",2.03,"none",10.54,"none",114,"none",10.2,"none",13,"none"
"Faxon Creek",2021-09-08,46.7169,-92.0738,2,"Watershed",751,"none",108,"none",NA,"none",NA,"none",103,"none",10.4,"none",NA,"none",NA,"none",2.04,"none",NA,"none",NA,"none",10.2,"none",NA,"none"
"Nemadji River",2021-09-08,46.6662,-92.0638,1,"Watershed",514,"none",49.3,"none",0.64,"none",0.67,"none",18.6,"none",4.34,"none",0.2,"none",0.22,"none",0.53,"none",0.71,"none",184,"none",3.44,"none",31.3,"none"
"Nemadji River",2021-09-08,46.6662,-92.0638,2,"Watershed",505,"none",48.6,"none",NA,"none",NA,"none",21.4,"none",4.28,"none",NA,"none",NA,"none",0.55,"none",NA,"none",NA,"none",3.58,"none",NA,"none"
"Newton Creek",2021-09-08,46.7045,-92.0421,1,"Watershed",422,"none",70.4,"none",1.83,"none",5.48,"none",23.6,"none",6.69,"none",0.24,"none",0.51,"none",0.96,"none",1.58,"none",62,"none",3.73,"none",10.3,"none"
"Newton Creek",2021-09-08,46.7045,-92.0421,2,"Watershed",423,"none",69.9,"none",NA,"none",NA,"none",23.6,"none",6.37,"none",NA,"none",NA,"none",0.94,"none",NA,"none",NA,"none",3.32,"none",NA,"none"
"Poplar Creek",2021-09-08,46.6872,-91.7928,1,"Watershed",724,"none",85.2,"none",NA,"bdl",0.3,"none",26.4,"none",11.7,"none",0.11,"none",0.31,"none",0.87,"none",1.04,"none",67.1,"none",8.3,"none",9.7,"none"
"Poplar Creek",2021-09-08,46.6872,-91.7928,2,"Watershed",733,"none",86.9,"none",NA,"none",NA,"none",26.4,"none",11.6,"none",NA,"none",NA,"none",0.89,"none",NA,"none",NA,"none",8.3,"none",NA,"none"
"Amnicon River",2021-09-21,46.6856,-91.8638,1,"Watershed",867,"none",213,"none",1.87,"none",0.4,"none",28.6,"none",15,"none",0.31,"none",0.6,"none",1.98,"none",2.32,"none",128,"none",4.39,"none",42,"none"
"Amnicon River",2021-09-21,46.6856,-91.8638,2,"Watershed",869,"none",210,"none",NA,"none",NA,"none",30.7,"none",15.9,"none",NA,"none",NA,"none",2.1,"none",NA,"none",NA,"none",4.42,"none",NA,"none"
"Bear Creek",2021-09-21,46.6725,-92.0005,1,"Watershed",1510,"none",168,"none",3.31,"none",0.75,"none",55.7,"none",11.3,"none",0.42,"none",1.33,"none",1.68,"none",2.72,"none",170,"none",3.22,"none",18.5,"none"
"Bear Creek",2021-09-21,46.6725,-92.0005,2,"Watershed",1530,"none",164,"none",NA,"none",NA,"none",57.1,"none",11,"none",NA,"none",NA,"none",1.68,"none",NA,"none",NA,"none",3.49,"none",NA,"none"
"Dutchman Creek",2021-09-21,46.6791,-91.9437,1,"Watershed",1160,"none",160,"none",5.51,"none",0.71,"none",42.8,"none",13.7,"none",0.19,"none",0.34,"none",1.57,"none",2.05,"none",128,"none",11.2,"none",17,"none"
"Dutchman Creek",2021-09-21,46.6791,-91.9437,2,"Watershed",1140,"none",156,"none",NA,"none",NA,"none",42.1,"none",14.4,"none",NA,"none",NA,"none",1.62,"none",NA,"none",NA,"none",10.9,"none",NA,"none"
"Faxon Creek",2021-09-21,46.7169,-92.0738,1,"Watershed",669,"none",105,"none",24.2,"none",1.82,"none",48.5,"none",5.83,"none",0.91,"none",1.65,"none",1.12,"none",2.64,"none",208,"none",1.57,"none",12.5,"none"
"Faxon Creek",2021-09-21,46.7169,-92.0738,2,"Watershed",654,"none",110,"none",NA,"none",NA,"none",49.3,"none",5.75,"none",NA,"none",NA,"none",1.11,"none",NA,"none",NA,"none",1.66,"none",NA,"none"
"Nemadji River",2021-09-21,46.6662,-92.0638,1,"Watershed",1050,"none",104,"none",1.85,"none",0.74,"none",33.6,"none",4.79,"none",0.25,"none",0.43,"none",0.81,"none",1.26,"none",197,"none",1.68,"none",15,"none"
"Nemadji River",2021-09-21,46.6662,-92.0638,2,"Watershed",1030,"none",103,"none",NA,"none",NA,"none",33.6,"none",5.37,"none",NA,"none",NA,"none",0.85,"none",NA,"none",NA,"none",1.87,"none",NA,"none"
"Newton Creek",2021-09-21,46.7045,-92.0421,1,"Watershed",692,"none",67.8,"none",6.95,"none",1.25,"none",37.1,"none",5.43,"none",0.63,"none",1.58,"none",0.77,"none",2.21,"none",193,"none",1.98,"none",10.5,"none"
"Newton Creek",2021-09-21,46.7045,-92.0421,2,"Watershed",725,"none",69.9,"none",NA,"none",NA,"none",40,"none",4.97,"none",NA,"none",NA,"none",0.81,"none",NA,"none",NA,"none",1.76,"none",NA,"none"
"Poplar Creek",2021-09-21,46.6872,-91.7928,1,"Watershed",1250,"none",369,"none",30.8,"none",0.4,"none",69.3,"none",31,"none",0.65,"none",1.15,"none",3.6,"none",4.26,"none",164,"none",4.82,"none",68.5,"none"
"Poplar Creek",2021-09-21,46.6872,-91.7928,2,"Watershed",1290,"none",335,"none",NA,"none",NA,"none",70.7,"none",28.8,"none",NA,"none",NA,"none",3.82,"none",NA,"none",NA,"none",4.85,"none",NA,"none"
"Bear Creek",2022-03-20,46.6725,-92.0005,1,"Watershed",1220,"none",174,"none",35.2,"none",9.86,"none",90.7,"none",16.8,"none",2.75,"none",3.23,"none",2.07,"none",5.11,"none",119,"none",0.59,"none",7.5,"none"
"Bear Creek",2022-03-20,46.6725,-92.0005,2,"Watershed",1220,"none",183,"none",NA,"none",NA,"none",79.2,"none",20.9,"none",NA,"none",NA,"none",2.14,"none",NA,"none",NA,"none",0.6,"none",NA,"none"
"Faxon Creek",2022-03-20,46.7169,-92.0738,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",1.38,"none",NA,"none"
"Faxon Creek",2022-03-20,46.7169,-92.0738,2,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",1.16,"none",NA,"none"
"Faxon Creek",2022-03-20,46.7169,-92.0738,3,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",1.53,"none",NA,"none"
"Faxon Creek",2022-03-20,46.7169,-92.0738,4,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",1.8,"none",NA,"none"
"Faxon Creek",2022-03-20,46.7169,-92.0738,5,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",1.75,"none",NA,"none"
"Faxon Creek",2022-03-20,46.7169,-92.0738,6,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",1.85,"none",NA,"none"
"Faxon Creek",2022-03-20,46.7169,-92.0738,7,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",1.76,"none",NA,"none"
"Faxon Creek",2022-03-20,46.7169,-92.0738,8,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",1.95,"none",NA,"none"
"Faxon Creek",2022-03-20,46.7169,-92.0738,9,"Watershed",812,"none",295,"none",79.1,"none",11,"none",117,"none",23.9,"none",3.43,"none",4.19,"none",2.87,"none",6,"none",115,"none",2.15,"none",44,"none"
"Faxon Creek",2022-03-20,46.7169,-92.0738,10,"Watershed",804,"none",306,"none",NA,"none",NA,"none",101,"none",24.7,"none",NA,"none",NA,"none",2.63,"none",NA,"none",NA,"none",1.92,"none",NA,"none"
"Nemadji River",2022-03-23,46.6662,-92.0638,1,"Watershed",1070,"none",253,"none",26,"none",12.1,"none",67.1,"none",18.6,"none",0.7,"none",1.34,"none",1.67,"none",3.55,"none",163,"none",0.68,"none",31.7,"none"
"Nemadji River",2022-03-23,46.6662,-92.0638,2,"Watershed",1040,"none",278,"none",NA,"none",NA,"none",66.4,"none",23.6,"none",NA,"none",NA,"none",2.03,"none",NA,"none",NA,"none",0.68,"none",NA,"none"
"Poplar Creek",2022-03-23,46.6872,-91.7928,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.56,"none",NA,"none"
"Poplar Creek",2022-03-23,46.6872,-91.7928,2,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.48,"none",NA,"none"
"Poplar Creek",2022-03-23,46.6872,-91.7928,3,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.65,"none",NA,"none"
"Poplar Creek",2022-03-23,46.6872,-91.7928,4,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.62,"none",NA,"none"
"Poplar Creek",2022-03-23,46.6872,-91.7928,5,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.63,"none",NA,"none"
"Poplar Creek",2022-03-23,46.6872,-91.7928,6,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.58,"none",NA,"none"
"Poplar Creek",2022-03-23,46.6872,-91.7928,7,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.72,"none",NA,"none"
"Poplar Creek",2022-03-23,46.6872,-91.7928,8,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.66,"none",NA,"none"
"Poplar Creek",2022-03-23,46.6872,-91.7928,9,"Watershed",1110,"none",186,"none",25.2,"none",5.07,"none",72.1,"none",17.6,"none",1.23,"none",1.67,"none",1.02,"none",3.44,"none",165,"none",0.65,"none",4.7,"none"
"Poplar Creek",2022-03-23,46.6872,-91.7928,10,"Watershed",1120,"none",223,"none",NA,"none",NA,"none",103,"none",17.6,"none",NA,"none",NA,"none",1.09,"none",NA,"none",NA,"none",0.72,"none",NA,"none"
"Amnicon River",2022-04-11,46.6856,-91.8638,1,"Watershed",1170,"none",234,"none",14.9,"none",3.36,"none",64.3,"none",14.8,"none",0.39,"none",0.75,"none",1.47,"none",2.45,"none",159,"none",1.14,"none",42.7,"none"
"Amnicon River",2022-04-11,46.6856,-91.8638,2,"Watershed",1170,"none",241,"none",NA,"none",NA,"none",61.4,"none",14.3,"none",NA,"none",NA,"none",1.55,"none",NA,"none",NA,"none",1.14,"none",NA,"none"
"Nemadji River",2022-04-11,46.6662,-92.0638,1,"Watershed",1220,"none",371,"none",NA,"none",NA,"none",61.4,"none",24.3,"none",NA,"none",NA,"none",1.9,"none",NA,"none",NA,"none",1.09,"none",NA,"none"
"Newton Creek",2022-04-11,46.7045,-92.0421,1,"Watershed",985,"none",79.1,"none",44.2,"none",4.23,"none",94.2,"none",5.41,"none",0.43,"none",1.11,"none",0.46,"none",1.6,"none",141,"none",0.9,"none",1.5,"none"
"Newton Creek",2022-04-11,46.7045,-92.0421,2,"Watershed",977,"none",81.8,"none",NA,"none",NA,"none",98.5,"none",5.18,"none",NA,"none",NA,"none",0.48,"none",NA,"none",NA,"none",0.99,"none",NA,"none"
"Brule River",2022-04-13,46.7053,-91.6039,1,"Watershed",858,"none",247,"none",7.25,"none",1.83,"none",39.3,"none",13,"none",0.29,"none",0.48,"none",0.98,"none",1.85,"none",154,"none",1.7,"none",64,"none"
"Brule River",2022-04-13,46.7053,-91.6039,2,"Watershed",855,"none",241,"none",NA,"none",NA,"none",42.8,"none",12.8,"none",NA,"none",NA,"none",0.68,"none",NA,"none",NA,"none",1.78,"none",NA,"none"
"Flag River",2022-04-13,46.7818,-91.3725,1,"Watershed",995,"none",472,"none",6.7,"none",2.82,"none",58.5,"none",31.1,"none",0.53,"none",1.47,"none",2.97,"none",5.14,"none",147,"none",0.8,"none",164,"none"
"Flag River",2022-04-13,46.7818,-91.3725,2,"Watershed",1010,"none",462,"none",NA,"none",NA,"none",49.3,"none",29.2,"none",NA,"none",NA,"none",3.5,"none",NA,"none",NA,"none",0.9,"none",NA,"none"
"Siskiwit River",2022-04-13,46.8547,-91.0916,1,"Watershed",1010,"none",330,"none",5.22,"none",1.15,"none",26.4,"none",20,"none",0.38,"none",0.64,"none",2.3,"none",3.03,"none",94.2,"none",0.87,"none",90,"none"
"Siskiwit River",2022-04-13,46.8547,-91.0916,2,"Watershed",977,"none",285,"none",NA,"none",NA,"none",34.3,"none",17.4,"none",NA,"none",NA,"none",2.8,"none",NA,"none",NA,"none",1,"none",NA,"none"
"Dutchman Creek",2022-05-02,46.6791,-91.9437,1,"Watershed",1500,"none",948,"none",19.1,"none",1.45,"none",60,"none",69.5,"none",0.27,"none",0.61,"none",1.83,"none",3.12,"none",158,"none",0.84,"none",35.8,"none"
"Dutchman Creek",2022-05-02,46.6791,-91.9437,2,"Watershed",1550,"none",924,"none",NA,"none",NA,"none",60.7,"none",71.6,"none",NA,"none",NA,"none",1.83,"none",NA,"none",NA,"none",0.69,"none",NA,"none"
"Dutchman Creek",2022-05-02,46.6791,-91.9437,3,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.69,"none",NA,"none"
"Dutchman Creek",2022-05-02,46.6791,-91.9437,4,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.71,"none",NA,"none"
"Dutchman Creek",2022-05-02,46.6791,-91.9437,5,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.64,"none",NA,"none"
"Dutchman Creek",2022-05-02,46.6791,-91.9437,6,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.84,"none",NA,"none"
"Dutchman Creek",2022-05-02,46.6791,-91.9437,7,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.8,"none",NA,"none"
"Dutchman Creek",2022-05-02,46.6791,-91.9437,8,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.76,"none",NA,"none"
"Dutchman Creek",2022-05-02,46.6791,-91.9437,9,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.9,"none",NA,"none"
"Dutchman Creek",2022-05-02,46.6791,-91.9437,10,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.87,"none",NA,"none"
"Dutchman Creek",2022-05-02,46.6791,-91.9437,11,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.77,"none",NA,"none"
"Nemadji River",2022-05-03,46.6662,-92.0638,1,"Watershed",1280,"none",460,"none",9.59,"none",1.12,"none",44.3,"none",21,"none",0.21,"none",0.43,"none",4.49,"none",4.25,"none",151,"none",0.87,"none",195,"none"
"Nemadji River",2022-05-03,46.6662,-92.0638,2,"Watershed",1350,"none",521,"none",NA,"none",NA,"none",65,"none",22.1,"none",NA,"none",NA,"none",4.11,"none",NA,"none",NA,"none",1.11,"none",NA,"none"
"Brule River",2022-05-24,46.7053,-91.6039,1,"Watershed",485,"none",72.8,"none",0.67,"none",0.53,"none",13.6,"none",3.67,"none",0.25,"none",0.43,"none",0.23,"none",0.67,"none",191,"none",1.36,"none",5.5,"none"
"Brule River",2022-05-24,46.7053,-91.6039,2,"Watershed",505,"none",73.9,"none",NA,"none",NA,"none",13.6,"none",3.66,"none",NA,"none",NA,"none",0.25,"none",NA,"none",NA,"none",1.46,"none",NA,"none"
"Flag River",2022-05-24,46.7818,-91.3725,1,"Watershed",253,"none",53,"none",1.42,"none",0.72,"none",10.7,"none",2.46,"none",0.31,"none",0.52,"none",0.24,"none",0.66,"none",222,"none",0.62,"none",2.2,"none"
"Flag River",2022-05-24,46.7818,-91.3725,2,"Watershed",210,"none",46.2,"none",NA,"none",NA,"none",14.3,"none",2.43,"none",NA,"none",NA,"none",0.3,"none",NA,"none",NA,"none",0.53,"none",NA,"none"
"Siskiwit Lake",2022-05-24,46.7962,-91.1226,1,"Watershed",996,"none",57.7,"none",5.98,"none",4.01,"none",32.1,"none",4.26,"none",0.13,"none",0.34,"none",0.15,"none",0.61,"none",29.9,"none",1.93,"none",2.2,"none"
"Siskiwit Lake",2022-05-24,46.7962,-91.1226,2,"Watershed",1110,"none",65,"none",NA,"none",NA,"none",34.3,"none",4.4,"none",NA,"none",NA,"none",0.19,"none",NA,"none",NA,"none",2.13,"none",NA,"none"
"Siskiwit Lake",2022-05-24,46.7962,-91.1226,3,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",2.81,"none",NA,"none"
"Siskiwit Lake",2022-05-24,46.7962,-91.1226,4,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",2.75,"none",NA,"none"
"Siskiwit Lake",2022-05-24,46.7962,-91.1226,5,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",2.61,"none",NA,"none"
"Siskiwit Lake",2022-05-24,46.7962,-91.1226,6,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",2.85,"none",NA,"none"
"Siskiwit Lake",2022-05-24,46.7962,-91.1226,7,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",2.77,"none",NA,"none"
"Siskiwit Lake",2022-05-24,46.7962,-91.1226,8,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",2.83,"none",NA,"none"
"Siskiwit Lake",2022-05-24,46.7962,-91.1226,9,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",2.55,"none",NA,"none"
"Siskiwit Lake",2022-05-24,46.7962,-91.1226,10,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",2.53,"none",NA,"none"
"Siskiwit Lake",2022-05-24,46.7962,-91.1226,11,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",2.8,"none",NA,"none"
"Siskiwit Lake",2022-05-24,46.7962,-91.1226,12,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",2.68,"none",NA,"none"
"Siskiwit Lake",2022-05-24,46.7962,-91.1226,13,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",2.7,"none",NA,"none"
"Siskiwit Lake",2022-05-24,46.7962,-91.1226,14,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",2.61,"none",NA,"none"
"Siskiwit Outlet",2022-05-24,46.8597,-91.1047,1,"Lake",310,"none",35.2,"none",18.3,"none",0.63,"none",25.7,"none",2.4,"none",0.11,"none",0.22,"none",0.16,"none",0.38,"none",80.8,"none",0.71,"none",1.1,"none"
"Siskiwit Outlet",2022-05-24,46.8597,-91.1047,2,"Lake",326,"none",36,"none",NA,"none",NA,"none",27.1,"none",2.51,"none",NA,"none",NA,"none",0.21,"none",NA,"none",NA,"none",0.71,"none",NA,"none"
"Siskiwit River",2022-05-24,46.8547,-91.0916,1,"Watershed",576,"none",45.2,"none",1.38,"none",0.48,"none",24.3,"none",2.96,"none",0.36,"none",0.82,"none",0.2,"none",0.91,"none",166,"none",1.04,"none",4.7,"none"
"Siskiwit River",2022-05-24,46.8547,-91.0916,2,"Watershed",573,"none",49.6,"none",NA,"none",NA,"none",12.9,"none",2.94,"none",NA,"none",NA,"none",0.2,"none",NA,"none",NA,"none",1.05,"none",NA,"none"
"Amnicon River",2022-05-25,46.6856,-91.8638,1,"Watershed",1570,"none",325,"none",0.68,"none",1.85,"none",60.7,"none",17,"none",0.12,"none",0.37,"none",1.72,"none",1.2,"none",91.1,"none",5.23,"none",7,"none"
"Amnicon River",2022-05-25,46.6856,-91.8638,2,"Watershed",1620,"none",312,"none",NA,"none",NA,"none",59.3,"none",16.7,"none",NA,"none",NA,"none",1.66,"none",NA,"none",NA,"none",6.98,"none",NA,"none"
"Bear Creek",2022-05-25,46.6725,-92.0005,1,"Watershed",1900,"none",268,"none",1.71,"none",0.81,"none",85,"none",11.8,"none",0.19,"none",0.5,"none",1.38,"none",2.03,"none",119,"none",3.22,"none",18.3,"none"
"Bear Creek",2022-05-25,46.6725,-92.0005,2,"Watershed",1920,"none",234,"none",NA,"none",NA,"none",67.1,"none",11.6,"none",NA,"none",NA,"none",1.41,"none",NA,"none",NA,"none",2.28,"none",NA,"none"
"Dutchman Creek",2022-05-25,46.6791,-91.9437,1,"Watershed",1900,"none",245,"none",2.05,"none",1.43,"none",61.4,"none",16.4,"none",0.24,"none",0.53,"none",2.21,"none",3.35,"none",159,"none",2.86,"none",32.2,"none"
"Dutchman Creek",2022-05-25,46.6791,-91.9437,2,"Watershed",1790,"none",240,"none",NA,"none",NA,"none",55.7,"none",14.7,"none",NA,"none",NA,"none",2.11,"none",NA,"none",NA,"none",2.54,"none",NA,"none"
"Faxon Creek",2022-05-25,46.7169,-92.0738,1,"Watershed",1620,"none",326,"none",49,"none",4.54,"none",109,"none",12.5,"none",4.02,"none",4.9,"none",1.66,"none",7.36,"none",112,"none",6.86,"none",36.2,"none"
"Faxon Creek",2022-05-25,46.7169,-92.0738,2,"Watershed",1570,"none",370,"none",NA,"none",NA,"none",106,"none",13.3,"none",NA,"none",NA,"none",1.73,"none",NA,"none",NA,"none",6.8,"none",NA,"none"
