TADA.CharacteristicName,Target.TADA.CharacteristicName,TADA.CharacteristicNameAssumptions,TADA.ResultSampleFractionText,Target.TADA.ResultSampleFractionText,TADA.FractionAssumptions,TADA.MethodSpeciationName,Target.TADA.MethodSpeciationName,TADA.SpeciationAssumptions,Target.TADA.SpeciationConversionFactor,HarmonizationGroup
PHOSPHATE-PHOSPHORUS,ORTHOPHOSPHATE,Assumes PHOSPHATE-PHOSPHORUS is synonymous to ORTHOPHOSPHATE,TOTAL,UNFILTERED,"Assumes PHOSPHATE-PHOSPHORUS, TOTAL is synonymous to ORTHOPHOSPHATE, UNFILTERED",,AS P,Assumes AS P,,Phosphorus
PHOSPHATE-PHOSPHORUS,ORTHOPHOSPHATE,Assumes PHOSPHATE-PHOSPHORUS is synonymous to ORTHOPHOSPHATE,,UNFILTERED,"Assumes PHOSPHATE-PHOSPHORUS, TOTAL is synonymous to ORTHOPHOSPHATE, UNFILTERED",,AS P,Assumes AS P,,Phosphorus
PHOSPHORUS,"TOTAL PHOSPHORUS, MIXED FORMS","Assumes PHOSPHORUS is synonymous to TOTAL PHOSPHORUS, MIXED FORMS.",DISSOLVED,FILTERED,Assumes DISSOLVED is synonymous to FILTERED. FILTERED is precise and preferred.,AS P,,,,Phosphorus
PHOSPHORUS,"TOTAL PHOSPHORUS, MIXED FORMS","Assumes PHOSPHORUS is synonymous to TOTAL PHOSPHORUS, MIXED FORMS.",TOTAL,UNFILTERED,"Assumes PHOSPHORUS, TOTAL is synonymous to TOTAL PHOSPHORUS, MIXED FORMS, UNFILTERED",AS P,,,,Phosphorus
PHOSPHORUS,"TOTAL PHOSPHORUS, MIXED FORMS","Assumes PHOSPHORUS is synonymous to TOTAL PHOSPHORUS, MIXED FORMS.",TOTAL,UNFILTERED,"Assumes PHOSPHORUS, TOTAL is synonymous to TOTAL PHOSPHORUS, MIXED FORMS, UNFILTERED",,AS P,Assumes AS P,,Phosphorus
PHOSPHORUS,"TOTAL PHOSPHORUS, MIXED FORMS","Assumes PHOSPHORUS is synonymous to TOTAL PHOSPHORUS, MIXED FORMS.",UNFILTERED,,,AS P,,,,Phosphorus
SILICA,,,DISSOLVED,FILTERED,Assumes DISSOLVED and TOTAL SOLUBLE are equivalent to FILTERED. FILTERED is precise and preferred.,AS SI,,,,Silica
SILICA,,,DISSOLVED,FILTERED,Assumes DISSOLVED and TOTAL SOLUBLE are equivalent to FILTERED. FILTERED is precise and preferred.,AS SIO2,AS SI,Converts speciation and result values from AS SIO2 to AS SI,0.467,Silica
SILICA,,,DISSOLVED,FILTERED,Assumes DISSOLVED and TOTAL SOLUBLE are equivalent to FILTERED. FILTERED is precise and preferred.,,AS SI,Assumes AS SI,,Silica
SILICA,,,TOTAL,UNFILTERED,Assumes TOTAL  and unspecified is synonymous to UNFILTERED,,AS SI,Assumes AS SI,,Silica
SILICA,,,,UNFILTERED,Assumes TOTAL  and unspecified is synonymous to UNFILTERED,,AS SI,Assumes AS SI,,Silica
SILICON,SILICA,,DISSOLVED,FILTERED,Assumes DISSOLVED and TOTAL SOLUBLE are equivalent to FILTERED. FILTERED is precise and preferred.,,AS SI,Assumes AS SI,,Silica
SILICON,SILICA,,TOTAL,UNFILTERED,Assumes TOTAL  and unspecified is synonymous to UNFILTERED,,AS SI,Assumes AS SI,,Silica
SOLUBLE REACTIVE PHOSPHORUS (SRP),ORTHOPHOSPHATE,,DISSOLVED,FILTERED,,,AS P,Assumes AS P,,Phosphorus
SOLUBLE REACTIVE PHOSPHORUS (SRP),ORTHOPHOSPHATE,,TOTAL,FILTERED,"Assumes SOLUBLE REACTIVE PHOSPHORUS (SRP) is synonymous with TOTAL PHOSPHORUS, MIXED FORMS, FILTERED",AS P,,,,Phosphorus
