PUBLICATION_DATE,UNIQUE_ID,UID,SITE_ID,VISIT_NO,DATE_COL,PSTL_CODE,VALXSITE,LAT_DD,LON_DD,STATION_DEPTH,,YEAR,DSGN_CYCLE,IND_DOMAIN,COUNTRY,EPA_REG,EVAL_CAT,FEAT_NM,GREAT_LAKE,LAKE_REG,LAT_DD83,LON_DD83,NCCA_REG,NPS_PARK,PROVINCE,SITETYPE,STATE_NM,XCOORD,YCOORD
5/2/2024,NGL_MI-10545,2014935,NGL20_MI-10114,1,9/17/2020,MI,Great Lakes,43.77826105,-86.4563449,12.7,,2020,2020,CORE,USA,Region_05,Target_Sampled,,Lake Michigan,,43.77826105,-86.4563449,Great Lakes,,Great Lakes Province,PROB,Michigan,763883.4289,741189.1149
5/2/2024,NGL_MI-10037,2014943,NGL20_MI-10093,1,9/18/2020,MI,Great Lakes,44.39602886,-86.30882046,22,,2020,2020,CORE,USA,Region_05,Target_Sampled,,Lake Michigan,,44.39602886,-86.30882046,Great Lakes,,Great Lakes Province,PROB,Michigan,768638.8747,810905.3831
5/2/2024,NGL_MI-10045,2014942,NGL20_MI-10101,1,9/18/2020,MI,Great Lakes,44.31254922,-86.29954463,5.1,,2020,2020,CORE,USA,Region_05,Target_Sampled,,Lake Michigan,,44.31254922,-86.29954463,Great Lakes,,Great Lakes Province,PROB,Michigan,770319.9384,801726.1257
5/2/2024,NGL_MI-10058,2014951,NGL20_MI-10021,2,9/20/2020,MI,Great Lakes,43.24615352,-82.46420498,12.7,,2020,2020,CORE,USA,Region_05,Target_Sampled,,Lake Huron,,43.24615352,-82.46420498,Great Lakes,,Great Lakes Province,PROB,Michigan,1090006.47,721166.3342
5/2/2024,NGL_MI-10515,2014952,NGL20_MI-10047,1,9/20/2020,MI,Great Lakes,43.32518021,-82.52295695,6.3,,2020,2020,CORE,USA,Region_05,Target_Sampled,,Lake Huron,,43.32518021,-82.52295695,Great Lakes,,Great Lakes Province,PROB,Michigan,1084059.948,729229.4223
5/2/2024,NGL_WI-10116,2014964,CBS20_WI-10004,1,9/21/2020,WI,Great Lakes,46.62781974,-90.88321602,10,,2020,2020,CORE,USA,Region_05,Target_Sampled,Chequamegon Bay,Lake Superior,None,46.62781974,-90.88321602,Great Lakes,Not_NPS,Great Lakes Province,PROB,Wisconsin,392989.3853,1030277.018
5/2/2024,NGL_WI-10133,2014965,CBS20_WI-10019,1,9/21/2020,WI,Great Lakes,46.72913961,-90.81826684,20,,2020,2020,CORE,USA,Region_05,Target_Sampled,Chequamegon Bay,Lake Superior,None,46.72913961,-90.81826684,Great Lakes,Not_NPS,Great Lakes Province,PROB,Wisconsin,397361.1679,1041754.048
5/2/2024,NGL_MI-10065,2014967,NGL20_MI-10027,1,9/21/2020,MI,Great Lakes,44.00505114,-83.22757902,8.8,,2020,2020,CORE,USA,Region_05,Target_Sampled,,Lake Huron,,44.00505114,-83.22757902,Great Lakes,,Great Lakes Province,PROB,Michigan,1017567.689,796580.0844
5/2/2024,NGL_MI-10526,2014968,NGL20_MI-10058,1,9/21/2020,MI,Great Lakes,44.08256064,-82.99072363,10.8,,2020,2020,CORE,USA,Region_05,Target_Sampled,,Lake Huron,,44.08256064,-82.99072363,Great Lakes,,Great Lakes Province,PROB,Michigan,1035141.372,807701.5825
5/2/2024,NGL_NY-10131,2014971,NGL20_NY-10058,1,9/21/2020,NY,Great Lakes,43.33194595,-78.85261023,20.7,,2020,2020,CORE,USA,Region_02,Target_Sampled,,Lake Ontario,,43.33194595,-78.85261023,Great Lakes,,Great Lakes Province,PROB,New York,1376294.841,777492.671
