Discharge.Daily@SFTC	Discharge.Daily@SFTC	Discharge.Daily@SFTC	Discharge.Daily@SFTC
yyyy-mm-dd	HH:MM:SS	ft^3/s			
Date	Time	Value	Grade	Approval	InterpolationCode
7/28/2016	0:00:00	0.030136853	51		8
7/29/2016	0:00:00	0.019158423	51		8
7/30/2016	0:00:00	0.014188787	51		8
7/31/2016	0:00:00	0.01113566	51		8
8/1/2016	0:00:00	0.01037475	51		8
8/2/2016	0:00:00	0.029135131	51		8
8/3/2016	0:00:00	0.036283243	51		8
8/4/2016	0:00:00	0.014462262	51		8
8/5/2016	0:00:00	0.010853068	51		8
8/6/2016	0:00:00	0.007714709	51		8
8/7/2016	0:00:00	0.007382459	51		8
8/8/2016	0:00:00	0.005475809	51		8
8/9/2016	0:00:00	0.002874548	51		8
8/10/2016	0:00:00	0.007479695	51		8
8/11/2016	0:00:00	0.007327476	51		8
8/12/2016	0:00:00	0.005978219	51		8
8/13/2016	0:00:00	0.006967424	51		8
8/14/2016	0:00:00	0.004294128	51		8
8/15/2016	0:00:00	0.00235032	51		8
8/16/2016	0:00:00	0.002175085	51		8
8/17/2016	0:00:00	0.003499962	51		8
8/18/2016	0:00:00	0.001640021	51		8
8/19/2016	0:00:00	0.002740551	51		8
8/20/2016	0:00:00	0.006666935	51		8
8/21/2016	0:00:00	0.00548795	51		8
8/22/2016	0:00:00	na		51		8
8/23/2016	0:00:00	na		51		8
8/24/2016	0:00:00	0.002949437	51		8
8/25/2016	0:00:00	0.003099286	51		8
8/26/2016	0:00:00	0.003787245	51		8
8/27/2016	0:00:00	0.00258488	51		8
8/28/2016	0:00:00	0.002101315	51		8
8/29/2016	0:00:00	0.006940579	51		8
8/30/2016	0:00:00	0.006382983	51		8
8/31/2016	0:00:00	0.005565284	51		8
9/1/2016	0:00:00	0.005237168	51		8
9/2/2016	0:00:00	0.004562898	51		8
9/3/2016	0:00:00	0.005156656	51		8
9/4/2016	0:00:00	0.005199934	51		8
9/5/2016	0:00:00	0.010792849	51		8
9/6/2016	0:00:00	0.696368954	51		8
9/7/2016	0:00:00	0.235004112	51		8
9/8/2016	0:00:00	0.168312246	51		8
9/9/2016	0:00:00	0.083373831	51		8
9/10/2016	0:00:00	0.044074631	51		8
9/11/2016	0:00:00	0.028336809	51		8
9/12/2016	0:00:00	0.019457415	51		8
9/13/2016	0:00:00	0.016984102	51		8
9/14/2016	0:00:00	0.012861258	51		8
9/15/2016	0:00:00	0.009823604	51		8
9/16/2016	0:00:00	0.009835507	51		8
9/17/2016	0:00:00	0.010500492	51		8
9/18/2016	0:00:00	0.010212836	51		8
9/19/2016	0:00:00	0.009086655	51		8
9/20/2016	0:00:00	0.009270293	51		8
9/21/2016	0:00:00	0.012432056	51		8
9/22/2016	0:00:00	0.018580159	51		8
9/23/2016	0:00:00	0.013280316	51		8
9/24/2016	0:00:00	0.01137062	51		8
9/25/2016	0:00:00	0.014462232	51		8
9/26/2016	0:00:00	0.022071266	51		8
9/27/2016	0:00:00	0.038650582	51		8
9/28/2016	0:00:00	0.047701046	51		8
9/29/2016	0:00:00	0.060388337	51		8
9/30/2016	0:00:00	0.041955249	51		8
10/1/2016	0:00:00	0.030837521	51		8
10/2/2016	0:00:00	0.024118075	51		8
10/3/2016	0:00:00	0.02253558	51		8
10/4/2016	0:00:00	0.017611297	51		8
10/5/2016	0:00:00	0.017227824	51		8
10/6/2016	0:00:00	0.014016044	51		8
10/7/2016	0:00:00	1.225899392	51		8
10/8/2016	0:00:00	0.314064471	51		8
10/9/2016	0:00:00	0.138671259	51		8
10/10/2016	0:00:00	0.085647106	51		8
10/11/2016	0:00:00	0.063601588	51		8
10/12/2016	0:00:00	0.050645885	51		8
10/13/2016	0:00:00	0.037878219	51		8
10/14/2016	0:00:00	0.02794275	51		8
10/15/2016	0:00:00	0.02238218	51		8
10/16/2016	0:00:00	0.020737647	51		8
10/17/2016	0:00:00	0.600954933	51		8
10/18/2016	0:00:00	0.269389776	51		8
10/19/2016	0:00:00	0.140176771	51		8
10/20/2016	0:00:00	0.089940519	51		8
10/21/2016	0:00:00	0.068999271	51		8
10/22/2016	0:00:00	0.055781293	51		8
10/23/2016	0:00:00	0.04854896	51		8
10/24/2016	0:00:00	0.040092149	51		8
10/25/2016	0:00:00	0.032339148	51		8
10/26/2016	0:00:00	0.0318083	51		8
10/27/2016	0:00:00	0.034731374	51		8
10/28/2016	0:00:00	0.03116402	51		8
10/29/2016	0:00:00	0.029644315	51		8
10/30/2016	0:00:00	0.031771083	51		8
10/31/2016	0:00:00	0.029925608	51		8
11/1/2016	0:00:00	0.028200192	51		8
11/2/2016	0:00:00	0.022407676	51		8
11/3/2016	0:00:00	0.022041355	51		8
11/4/2016	0:00:00	0.017956704	51		8
11/5/2016	0:00:00	0.01561866	51		8
11/6/2016	0:00:00	0.013577236	51		8
11/7/2016	0:00:00	0.012139052	51		8
